"SYMBOL","ENTREZID"
"FAM234B","57613"
"FAM3C","10447"
"FAM89A","375061"
"FANCE","2178"
"FAT1","2195"
"FBLIM1","54751"
"FBRSL1","57666"
"FBXO2","26232"
"FBXO46","23403"
"FDX2","112812"
"FGFR3","2261"
"FHL1","2273"
"FIP1L1","81608"
"FKBPL","63943"
"FLT1","2321"
"FN1","2335"
"FOS","2353"
"FOXD3","27022"
"FPGS","2356"
"FRMD4A","55691"
"FTL","2512"
"FUNDC1","139341"
"FURIN","5045"
"FUT8","2530"
"FXN","2395"
"FZD7","8324"
"FZD8","8325"
"GALNT10","55568"
"GALNT13","114805"
"GALNT4","8693"
"GATA4","2626"
"GCNT1","2650"
"GHITM","27069"
"GINM1","116254"
"GJA1","2697"
"GJC1","10052"
"GK","2710"
"GLRX","2745"
"GLRX2","51022"
"GLT8D1","55830"
"GNAZ","2781"
"GNB2","2783"
"GNG5","2787"
"GOLGA7","51125"
"GOLM1","51280"
"GON4L","54856"
"GORASP1","64689"
"GPBP1L1","60313"
"GPC3","2719"
"GPC6","10082"
"GPRC5C","55890"
"GPRIN3","285513"
"GRAMD4","23151"
"GREB1L","80000"
"GRIP1","23426"
"GSTA4","2941"
"GTF3C1","2975"
"GTF3C6","112495"
"GUF1","60558"
"GXYLT2","727936"
"HABP2","3026"
"HAUS5","23354"
"HDAC8","55869"
"HDHD5","27440"
"HERPUD1","9709"
"HERPUD2","64224"
"HGFAC","3083"
"HIGD2A","192286"
"HLA-A","3105"
"HMGCS1","3157"
"HMGN3","9324"
"HMGN4","10473"
"HMMR","3161"
"HMOX1","3162"
"HMX1","3166"
"HOXA6","3203"
"HOXB13","10481"
"HPCAL4","51440"
"HPRT1","3251"
"HPX","3263"
"HSF2","3298"
"HSPA6","3310"
"HSPBAP1","79663"
"HTD2","109703458"
"HYAL2","8692"
"ICAM5","7087"
"IER3IP1","51124"
"IFI35","3430"
"IFNAR1","3454"
"IFNAR2","3455"
"IFNGR1","3459"
"IFRD1","3475"
"IFT27","11020"
"IFT57","55081"
"IFT81","28981"
"IGF2R","3482"
"IKZF5","64376"
"IL13RA1","3597"
"IL6ST","3572"
"ISL1","3670"
"ISOC2","79763"
"ITIH2","3698"
"ITIH4","3700"
"ITM2B","9445"
"ITM2C","81618"
"JAG2","3714"
"JARID2","3720"
"KDM5B","10765"
"KIAA1671","85379"
"KIF5B","3799"
"KLC4","89953"
"KLF13","51621"
"KLF6","1316"
"KLF9","687"
"KLHL11","55175"
"KLHL26","55295"
"KLHL42","57542"
"KLHL9","55958"
"KXD1","79036"
"LAMA1","284217"
"LAMA4","3910"
"LAMP3","27074"
"LAMTOR5","10542"
"LAPTM4A","9741"
"LATS2","26524"
"LDLR","3949"
"LGMN","5641"
"LGR4","55366"
"LIFR","3977"
"LIG3","3980"
"LIG4","3981"
"LMBRD1","55788"
"LNX2","222484"
"LPGAT1","9926"
"LRIG1","26018"
"LRIG3","121227"
"LRP10","26020"
"LRP11","84918"
"LRP5","4041"
"LRP6","4040"
"LTV1","84946"
"LXN","56925"
"LYPLA2","11313"
"LYSMD2","256586"
"MAFK","7975"
"MANSC1","54682"
"MAP1B","4131"
"MAP4K3","8491"
"MAP4K5","11183"
"MAPK8","5599"
"MAPKAP1","79109"
"MAST2","23139"
"MCFD2","90411"
"MCM10","55388"
"MDP1","145553"
"MED7","9443"
"MEIS1","4211"
"MEIS2","4212"
"METTL17","64745"
"MEX3D","399664"
"MFAP3","4238"
"MFAP4","4239"
"MFGE8","4240"
"MFSD4B","91749"
"MFSD8","256471"
"MGAT4B","11282"
"MGRN1","23295"
"MIEN1","84299"
"MINDY2","54629"
"MIS18A","54069"
"MLLT11","10962"
"MLLT6","4302"
"MME","4311"
"MOB2","81532"
"MOCS3","27304"
"MPC1","51660"
"MPLKIP","136647"
"MPPED2","744"
"MRC2","9902"
"MRFAP1","93621"
"MRTFA","57591"
"MSL1","339287"
"MSX2","4488"
"MT2A","4502"
"MTFR2","113115"
"MTMR12","54545"
"MTMR9","66036"
"MXD4","10608"
"MXI1","4601"
"MYNN","55892"
"MYORG","57462"
"NAA20","51126"
"NAA80","24142"
"NAB2","4665"
"NAT1","9"
"NAT10","55226"
"NATD1","256302"
"NAXD","55739"
"NBDY","550643"
"NBR1","4077"
"NCOA4","8031"
"NDEL1","81565"
"NDFIP1","80762"
"NDFIP2","54602"
"NDUFA1","4694"
"NDUFA4","4697"
"NDUFA7","4701"
"NDUFAF8","284184"
"NDUFB8","4714"
"NDUFC1","4717"
"NEMP1","23306"
"NEO1","4756"
"NEU1","4758"
"NFE2L1","4779"
"NFE2L2","4780"
"NFKBIE","4794"
"NIPBL","25836"
"NOCT","25819"
"NPDC1","56654"
"NR2F2","7026"
"NRGN","4900"
"NT5DC2","64943"
"NTAN1","123803"
"NTHL1","4913"
"NTN1","9423"
"NUDT4","11163"
"NUDT8","254552"
"NUMA1","4926"
"NUMBL","9253"
"NUTF2","10204"
"NXPE3","91775"
"OBI1","79596"
"OGN","4969"
"OLA1","29789"
"OPHN1","4983"
"ORAI1","84876"
"OTUD4","54726"
"OTULINL","54491"
"OXLD1","339229"
"PABIR1","116224"
"PAIP2","51247"
"PALB2","79728"
"PAM","5066"
"PAN2","9924"
"PAX6","5080"
"PCBP3","54039"
"PCBP4","57060"
"PCDHGA11","56105"
"PCGF2","7703"
"PCGF3","10336"
"PCLAF","9768"
"PCMT1","5110"
"PDIK1L","149420"
"PDK2","5164"
"PDLIM2","64236"
"PDS5A","23244"
"PDSS1","23590"
"PEX11B","8799"
"PEX13","5194"
"PEX19","5824"
"PGGT1B","5229"
"PGLS","25796"
"PHAF1","80262"
"PHC3","80012"
"PHF12","57649"
"PHF8","23133"
"PHPT1","29085"
"PHRF1","57661"
"PI4K2A","55361"
"PIAS1","8554"
"PIAS3","10401"
"PIBF1","10464"
"PIDD1","55367"
"PIGX","54965"
"PIPSL","266971"
"PISD","23761"
"PJA2","9867"
"PKNOX2","63876"
"PLAGL1","5325"
"PLD3","23646"
"PLEC","5339"
"PLEKHA3","65977"
"PLEKHB2","55041"
"PLEKHF1","79156"
"PLEKHG1","57480"
"PLEKHH3","79990"
"PLEKHJ1","55111"
"PLPP3","8613"
"PMM1","5372"
"PNRC1","10957"
"PODXL","5420"
"PODXL2","50512"
"POLD4","57804"
"POLR3K","51728"
"POLRMT","5442"
"POM121","9883"
"PPP1R15B","84919"
"PRELID3B","51012"
"PRKACG","5568"
"PRKAR1A","5573"
"PRKAR1B","5575"
"PROS1","5627"
"PRPH","5630"
"PRPS1L1","221823"
"PTGES3","10728"
"PTGS2","5743"
"PTMS","5763"
"PTN","5764"
"PTOV1","53635"
"PTPN14","5784"
"PTPRS","5802"
"PTRHD1","391356"
"PTTG1","9232"
"PVALB","5816"
"PXN","5829"
"PYGM","5837"
"PZP","5858"
"QPCT","25797"
"R3HDM4","91300"
"RAB29","8934"
"RABAC1","10567"
"RABEP2","79874"
"RAMAC","83640"
"RAP1BL","643752"
"RARB","5915"
"RBAK","57786"
"RBL1","5933"
"RBM18","92400"
"RBM38","55544"
"RCE1","9986"
"RCHY1","25898"
"RDH12","145226"
"RELL1","768211"
"RFESD","317671"
"RHOU","58480"
"RIF1","55183"
"RIPK2","8767"
"RIT1","6016"
"RNASE4","6038"
"RNF121","55298"
"RNF141","50862"
"RNF149","284996"
"RNF166","115992"
"RNF169","254225"
"RNF187","149603"
"RNF19A","25897"
"RNF7","9616"
"ROBO2","6092"
"RPAIN","84268"
"RPAP2","79871"
"RPE","6120"
"RPS6KA4","8986"
"RTKN","6242"
"RTN4IP1","84816"
"RTN4RL2","349667"
"RUFY2","55680"
"SAPCD2","89958"
"SBSN","374897"
"SCAI","286205"
"SCAND1","51282"
"SCLT1","132320"
"SCML1","6322"
"SCPEP1","59342"
"SDC4","6385"
"SDCBP","6386"
"SEC14L2","23541"
"SEC22A","26984"
"SEC63","11231"
"SELENOF","9403"
"SEMA3C","10512"
"SEPTIN9","10801"
"SERINC1","57515"
"SERINC3","10955"
"SERPIND1","3053"
"SERPINF2","5345"
"SETD5","55209"
"SFMBT1","51460"
"SFN","2810"
"SFT2D2","375035"
"SFXN4","119559"
"SGTB","54557"
"SH2D4A","63898"
"SH3RF1","57630"
"SHCBP1","79801"
"SHROOM3","57619"
"SIRT3","23410"
"SIRT7","51547"
"SIVA1","10572"
"SLC11A2","4891"
"SLC26A11","284129"
"SLC38A3","10991"
"SLC39A10","57181"
"SLC39A7","7922"
"SLC46A1","113235"
"SLC46A3","283537"
"SLC49A4","84925"
"SLIT2","9353"
"SMAD5","4090"
"SMC1B","27127"
"SMIM11","54065"
"SMIM20","389203"
"SMOC1","64093"
"SMYD3","64754"
"SNX24","28966"
"SORL1","6653"
"SOX5","6660"
"SPA17","53340"
"SPC24","147841"
"SPG7","6687"
"SPICE1","152185"
"SPINT2","10653"
"SPP2","6694"
"SPR","6697"
"SPRING1","79794"
"SPRY2","10253"
"SPTBN1","6711"
"SQOR","58472"
"SREBF2","6721"
"SRGAP1","57522"
"SRSF9","8683"
"SRXN1","140809"
"SS18","6760"
"ST3GAL4","6484"
"ST3GAL6","10402"
"STIL","6491"
"STK32C","282974"
"STMN3","50861"
"STOML1","9399"
"STON2","85439"
"STRADA","92335"
"SULT1A1","6817"
"SUPV3L1","6832"
"SUSD5","26032"
"SV2A","9900"
"SWI5","375757"
"TAF13","6884"
"TAF1C","9013"
"TAF4B","6875"
"TAGLN","6876"
"TANC1","85461"
"TANGO2","128989"
"TAX1BP1","8887"
"TBC1D25","4943"
"TBC1D30","23329"
"TCEAL8","90843"
"TEAD3","7005"
"TEFM","79736"
"TET2","54790"
"TEX9","374618"
"TFB2M","64216"
"TFIP11","24144"
"TFPI","7035"
"TGDS","23483"
"TGFB1","7040"
"TGFB1I1","7041"
"TGOLN2","10618"
"THBS1","7057"
"THRB","7068"
"TIFA","92610"
"TIMELESS","8914"
"TIMM23","100287932"
"TIMM44","10469"
"TIMP3","7078"
"TINF2","26277"
"TK2","7084"
"TM2D3","80213"
"TMCO1","54499"
"TMED10","10972"
"TMEFF1","8577"
"TMEM104","54868"
"TMEM11","8834"
"TMEM120B","144404"
"TMEM123","114908"
"TMEM132A","54972"
"TMEM183A","92703"
"TMEM223","79064"
"TMEM231","79583"
"TMEM248","55069"
"TMEM258","746"
"TMEM35B","100506144"
"TMEM38B","55151"
"TMEM51","55092"
"TMEM59","9528"
"TMEM59L","25789"
"TMSB10","9168"
"TNFRSF10B","8795"
"TNFRSF10D","8793"
"TNFRSF1A","7132"
"TNFSF9","8744"
"TOMM40L","84134"
"TOMM7","54543"
"TP53I13","90313"
"TRAP1","10131"
"TRIB3","57761"
"TRIM21","6737"
"TRIM23","373"
"TSC22D2","9819"
"TSKU","25987"
"TSPAN10","83882"
"TSPAN13","27075"
"TSPAN14","81619"
"TSPAN3","10099"
"TSPAN31","6302"
"TSPAN33","340348"
"TSPAN6","7105"
"TTC13","79573"
"TTC3","7267"
"TTC9","23508"
"TUBA4A","7277"
"TYW1","55253"
"UBAP2","55833"
"UBE2D1","7321"
"UBE2G2","7327"
"UBE2T","29089"
"UBE3D","90025"
"UBL3","5412"
"UBN1","29855"
"UBN2","254048"
"UFC1","51506"
"UNC5B","219699"
"UROS","7390"
"USP1","7398"
"USP32","84669"
"USP46","64854"
"USP6NL","9712"
"UTP20","27340"
"UVRAG","7405"
"VANGL2","57216"
"VEZT","55591"
"VHL","7428"
"VPS25","84313"
"VPS37B","79720"
"VTN","7448"
"WASF1","8936"
"WASF2","10163"
"WDR35","57539"
"WNK1","65125"
"WNT5A","7474"
"WWC1","23286"
"YAE1","57002"
"YIPF4","84272"
"ZBED3","84327"
"ZBED5","58486"
"ZBTB39","9880"
"ZBTB4","57659"
"ZBTB5","9925"
"ZCCHC24","219654"
"ZCCHC4","29063"
"ZDHHC12","84885"
"ZDHHC13","54503"
"ZDHHC14","79683"
"ZDHHC17","23390"
"ZDHHC18","84243"
"ZDHHC20","253832"
"ZDHHC9","51114"
"ZFAND2B","130617"
"ZFAND5","7763"
"ZFAND6","54469"
"ZFP3","124961"
"ZNF100","163227"
"ZNF16","7564"
"ZNF250","58500"
"ZNF276","92822"
"ZNF319","57567"
"ZNF324","25799"
"ZNF335","63925"
"ZNF354A","6940"
"ZNF428","126299"
"ZNF460","10794"
"ZNF467","168544"
"ZNF485","220992"
"ZNF496","84838"
"ZNF513","130557"
"ZNF521","25925"
"ZNF557","79230"
"ZNF597","146434"
"ZNF616","90317"
"ZNF627","199692"
"ZNF697","90874"
"ZNF7","7553"
"ZNF71","58491"
"ZNF714","148206"
"ZNF721","170960"
"ZNF724","440519"
"ZNF747","65988"
"ZNF799","90576"
"ZNHIT3","9326"
"ZNRD2","10534"
"ZSCAN5A","79149"
"ZXDC","79364"
"AAAS","8086"
"AACS","65985"
"AAGAB","79719"
"AAK1","22848"
"AAMDC","28971"
"AAMP","14"
"AAR2","25980"
"AARS1","16"
"AARS2","57505"
"AARSD1","80755"
"AASDHPPT","60496"
"AASS","10157"
"AATF","26574"
"ABAT","18"
"ABCB1","5243"
"ABCB7","22"
"ABCC1","4363"
"ABCC10","89845"
"ABCC4","10257"
"ABCD3","5825"
"ABCD4","5826"
"ABCE1","6059"
"ABCF1","23"
"ABCF2","10061"
"ABCF3","55324"
"ABHD10","55347"
"ABHD11","83451"
"ABHD12","26090"
"ABHD14B","84836"
"ABHD16A","7920"
"ABHD17B","51104"
"ABHD17C","58489"
"ABHD6","57406"
"ABI1","10006"
"ABI2","10152"
"ABITRAM","54942"
"ABL1","25"
"ABL2","27"
"ABLIM1","3983"
"ABLIM2","84448"
"ABR","29"
"ABRACL","58527"
"ABRAXAS1","84142"
"ABRAXAS2","23172"
"ABT1","29777"
"ACAA1","30"
"ACAA2","10449"
"ACACA","31"
"ACAD10","80724"
"ACAD11","84129"
"ACAD8","27034"
"ACAD9","28976"
"ACADM","34"
"ACADS","35"
"ACADSB","36"
"ACADVL","37"
"ACAP2","23527"
"ACAT1","38"
"ACAT2","39"
"ACBD3","64746"
"ACBD5","91452"
"ACBD6","84320"
"ACD","65057"
"ACIN1","22985"
"ACLY","47"
"ACO1","48"
"ACO2","50"
"ACOT2","10965"
"ACOT7","11332"
"ACOT8","10005"
"ACOT9","23597"
"ACOX1","51"
"ACOX3","8310"
"ACP1","52"
"ACP2","53"
"ACP6","51205"
"ACSF2","80221"
"ACSF3","197322"
"ACSL1","2180"
"ACSL3","2181"
"ACSL4","2182"
"ACSS1","84532"
"ACSS2","55902"
"ACSS3","79611"
"ACTA1","58"
"ACTBL2","345651"
"ACTL6A","86"
"ACTN1","87"
"ACTN4","81"
"ACTR10","55860"
"ACTR1A","10121"
"ACTR1B","10120"
"ACTR2","10097"
"ACTR3","10096"
"ACTR3B","57180"
"ACTR5","79913"
"ACTR6","64431"
"ACTR8","93973"
"ACVR1","90"
"ACVR1B","91"
"ACVR2A","92"
"ACVR2B","93"
"ACY1","95"
"ACYP1","97"
"ACYP2","98"
"ADA","100"
"ADAM10","102"
"ADAM15","8751"
"ADAM17","6868"
"ADAM22","53616"
"ADAR","103"
"ADARB1","104"
"ADAT2","134637"
"ADAT3","113179"
"ADD2","119"
"ADD3","120"
"ADGRE5","976"
"ADGRL2","23266"
"ADGRL3","23284"
"ADH5","128"
"ADI1","55256"
"ADIPOR1","51094"
"ADISSP","54976"
"ADK","132"
"ADNP","23394"
"ADNP2","22850"
"ADO","84890"
"ADPGK","83440"
"ADPRM","56985"
"ADPRS","54936"
"ADRM1","11047"
"ADSL","158"
"ADSS1","122622"
"ADSS2","159"
"AEBP2","121536"
"AFAP1","60312"
"AFDN","4301"
"AFF1","4299"
"AFF3","3899"
"AFF4","27125"
"AFG2A","166378"
"AFG2B","79029"
"AFG3L2","10939"
"AFM","173"
"AGAP1","116987"
"AGAP3","116988"
"AGFG1","3267"
"AGFG2","3268"
"AGGF1","55109"
"AGK","55750"
"AGL","178"
"AGO1","26523"
"AGO2","27161"
"AGO3","192669"
"AGPAT1","10554"
"AGPAT3","56894"
"AGPAT4","56895"
"AGPAT5","55326"
"AGPS","8540"
"AGR2","10551"
"AGRN","375790"
"AGTPBP1","23287"
"AGTRAP","57085"
"AHCTF1","25909"
"AHCY","191"
"AHCYL1","10768"
"AHCYL2","23382"
"AHNAK","79026"
"AHNAK2","113146"
"AHSA1","10598"
"AIDA","64853"
"AIF1L","83543"
"AIFM1","9131"
"AIG1","51390"
"AIMP1","9255"
"AIMP2","7965"
"AIP","9049"
"AJUBA","84962"
"AK1","203"
"AK2","204"
"AK3","50808"
"AK4","205"
"AK6","102157402"
"AKAP1","8165"
"AKAP10","11216"
"AKAP11","11215"
"AKAP12","9590"
"AKAP13","11214"
"AKAP17A","8227"
"AKAP5","9495"
"AKAP8","10270"
"AKAP8L","26993"
"AKAP9","10142"
"AKR1A1","10327"
"AKR1B1","231"
"AKR1E2","83592"
"AKR7A2","8574"
"AKT1","207"
"AKT1S1","84335"
"AKT2","208"
"AKT3","10000"
"AKTIP","64400"
"ALAD","210"
"ALAS1","211"
"ALCAM","214"
"ALDH16A1","126133"
"ALDH1A1","216"
"ALDH1A2","8854"
"ALDH1B1","219"
"ALDH1L1","10840"
"ALDH2","217"
"ALDH3A2","224"
"ALDH4A1","8659"
"ALDH5A1","7915"
"ALDH6A1","4329"
"ALDH7A1","501"
"ALDH9A1","223"
"ALDOA","226"
"ALDOC","230"
"ALG11","440138"
"ALG13","79868"
"ALG2","85365"
"ALG3","10195"
"ALG5","29880"
"ALG6","29929"
"ALG8","79053"
"ALG9","79796"
"ALKBH1","8846"
"ALKBH2","121642"
"ALKBH3","221120"
"ALKBH4","54784"
"ALKBH5","54890"
"ALKBH6","84964"
"ALKBH7","84266"
"ALPL","249"
"ALX4","60529"
"ALYREF","10189"
"AMBRA1","55626"
"AMDHD2","51005"
"AMER1","139285"
"AMMECR1L","83607"
"AMOTL2","51421"
"AMPD2","271"
"AMPH","273"
"AMZ2","51321"
"ANAPC1","64682"
"ANAPC10","10393"
"ANAPC11","51529"
"ANAPC2","29882"
"ANAPC5","51433"
"ANAPC7","51434"
"ANGEL2","90806"
"ANK2","287"
"ANK3","288"
"ANKFY1","51479"
"ANKH","56172"
"ANKHD1","54882"
"ANKMY2","57037"
"ANKRD11","29123"
"ANKRD13A","88455"
"ANKRD13C","81573"
"ANKRD17","26057"
"ANKRD26","22852"
"ANKRD27","84079"
"ANKRD28","23243"
"ANKRD40","91369"
"ANKRD46","157567"
"ANKRD50","57182"
"ANKRD52","283373"
"ANKRD54","129138"
"ANKS1A","23294"
"ANKS6","203286"
"ANKZF1","55139"
"ANLN","54443"
"ANO10","55129"
"ANO6","196527"
"ANP32A","8125"
"ANP32B","10541"
"ANP32E","81611"
"ANTXR1","84168"
"ANTXR2","118429"
"ANXA1","301"
"ANXA11","311"
"ANXA2","302"
"ANXA3","306"
"ANXA6","309"
"ANXA7","310"
"AOC1","26"
"AP1B1","162"
"AP1G1","164"
"AP1G2","8906"
"AP1M1","8907"
"AP1S1","1174"
"AP1S2","8905"
"AP1S3","130340"
"AP2A1","160"
"AP2A2","161"
"AP2B1","163"
"AP2M1","1173"
"AP2S1","1175"
"AP3B1","8546"
"AP3D1","8943"
"AP3M1","26985"
"AP3M2","10947"
"AP3S1","1176"
"AP3S2","10239"
"AP4B1","10717"
"AP4M1","9179"
"AP4S1","11154"
"AP5B1","91056"
"AP5M1","55745"
"AP5Z1","9907"
"APAF1","317"
"APBB1","322"
"APC","324"
"APEH","327"
"APEX1","328"
"API5","8539"
"APIP","51074"
"APMAP","57136"
"APOBEC3B","9582"
"APOBEC3C","27350"
"APOBEC3F","200316"
"APOL2","23780"
"APOO","79135"
"APOOL","139322"
"APPL1","26060"
"APPL2","55198"
"APRT","353"
"APTX","54840"
"AQR","9716"
"ARAF","369"
"ARAP1","116985"
"ARCN1","372"
"ARF1","375"
"ARF4","378"
"ARF5","381"
"ARF6","382"
"ARFGAP1","55738"
"ARFGAP2","84364"
"ARFGAP3","26286"
"ARFGEF1","10565"
"ARFGEF2","10564"
"ARFGEF3","57221"
"ARFIP1","27236"
"ARFIP2","23647"
"ARFRP1","10139"
"ARG2","384"
"ARGLU1","55082"
"ARHGAP1","392"
"ARHGAP10","79658"
"ARHGAP11A","9824"
"ARHGAP12","94134"
"ARHGAP17","55114"
"ARHGAP18","93663"
"ARHGAP19","84986"
"ARHGAP21","57584"
"ARHGAP29","9411"
"ARHGAP32","9743"
"ARHGAP35","2909"
"ARHGAP5","394"
"ARHGDIA","396"
"ARHGEF1","9138"
"ARHGEF10","9639"
"ARHGEF11","9826"
"ARHGEF12","23365"
"ARHGEF16","27237"
"ARHGEF18","23370"
"ARHGEF2","9181"
"ARHGEF26","26084"
"ARHGEF40","55701"
"ARHGEF6","9459"
"ARHGEF7","8874"
"ARID1A","8289"
"ARID1B","57492"
"ARID2","196528"
"ARID3A","1820"
"ARID3B","10620"
"ARID4A","5926"
"ARID4B","51742"
"ARID5B","84159"
"ARIH1","25820"
"ARIH2","10425"
"ARK2N","147339"
"ARL1","400"
"ARL10","285598"
"ARL13B","200894"
"ARL14EP","120534"
"ARL15","54622"
"ARL2","402"
"ARL2BP","23568"
"ARL3","403"
"ARL5A","26225"
"ARL6","84100"
"ARL6IP4","51329"
"ARL6IP5","10550"
"ARL6IP6","151188"
"ARL8A","127829"
"ARL8B","55207"
"ARMC1","55156"
"ARMC10","83787"
"ARMC2","84071"
"ARMC5","79798"
"ARMC6","93436"
"ARMC8","25852"
"ARMC9","80210"
"ARMCX3","51566"
"ARMH3","79591"
"ARMT1","79624"
"ARNT","405"
"ARPC1A","10552"
"ARPC1B","10095"
"ARPC2","10109"
"ARPC3","10094"
"ARPC4","10093"
"ARPC5","10092"
"ARPC5L","81873"
"ARPIN","348110"
"ARPP19","10776"
"ARRB1","408"
"ARRB2","409"
"ARRDC1","92714"
"ARRDC3","57561"
"ARSA","410"
"ARSB","411"
"ARSK","153642"
"ARV1","64801"
"ARVCF","421"
"AS3MT","57412"
"ASAH1","427"
"ASAP1","50807"
"ASB3","51130"
"ASB6","140459"
"ASCC1","51008"
"ASCC2","84164"
"ASCC3","10973"
"ASDURF","110599588"
"ASF1A","25842"
"ASF1B","55723"
"ASH1L","55870"
"ASH2L","9070"
"ASMTL","8623"
"ASNS","440"
"ASPH","444"
"ASPM","259266"
"ASPSCR1","79058"
"ASRGL1","80150"
"ASS1","445"
"ASXL1","171023"
"ASXL2","55252"
"ATAD1","84896"
"ATAD2","29028"
"ATAD2B","54454"
"ATAD3A","55210"
"ATAD3B","83858"
"ATAT1","79969"
"ATE1","11101"
"ATF1","466"
"ATF2","1386"
"ATF6","22926"
"ATF6B","1388"
"ATF7","11016"
"ATF7IP","55729"
"ATG101","60673"
"ATG13","9776"
"ATG14","22863"
"ATG16L1","55054"
"ATG2A","23130"
"ATG2B","55102"
"ATG3","64422"
"ATG4A","115201"
"ATG4B","23192"
"ATG4C","84938"
