Package	Version
sass	0.4.10
scales	1.4.0
scatterplot3d	0.3-44
segmented	2.1-4
selectr	0.4-2
seqinr	4.2-36
sessioninfo	1.2.3
settings	0.2.7
shape	1.4.6.1
shiny	1.11.1
shinybusy	0.3.3
shinydashboard	0.7.3
shinyjs	2.1.0
shinyWidgets	0.9.0
slam	0.1-55
snakecase	0.11.1
snow	0.4-4
SnowballC	0.7.1
sodium	1.4.0
sourcetools	0.1.7-1
sp	2.2-0
SparseArray	1.6.2
SparseM	1.84-2
spatial	7.3-18
splines	4.4.1
SQUAREM	2021.1
StanHeaders	2.32.10
statmod	1.5.0
stats	4.4.1
stats4	4.4.1
stringi	1.8.7
stringr	1.5.2
styler	1.10.3
SummarizedExperiment	1.36.0
survival	3.8-3
swagger	5.17.14.1
sys	3.4.3
systemfonts	1.3.1
tau	0.0-26
tcltk	4.4.1
tensorA	0.36.2.1
testthat	3.2.3
textshaping	1.0.3
tibble	3.3.0
tidyr	1.3.1
tidyselect	1.2.1
tidytext	0.4.3
tidyverse	2.0.0
timechange	0.3.0
tinytex	0.57
tm	0.7-16
tmvtnorm	1.7
toastui	0.4.0
tokenizers	0.3.0
tools	4.4.1
translations	4.4.1
tree	1.0-45
tweenr	2.0.3
tzdb	0.5.0
UCSC.utils	1.2.0
UpSetR	1.4.0
urlchecker	1.0.1
usethis	3.2.1
utf8	1.2.6
utils	4.4.1
uuid	1.2-1
V8	8.0.0
validate	1.1.5
vctrs	0.6.5
venn	1.12
VennDiagram	1.7.3
vipor	0.4.7
viridis	0.6.5
viridisLite	0.4.2
vroom	1.6.6
vsn	3.74.0
waldo	0.6.2
webutils	1.2.2
whisker	0.4.1
withr	3.0.2
writexl	1.5.4
xfun	0.53
XML	3.99-0.19
xml2	1.4.0
xmlparsedata	1.0.5
xopen	1.0.1
xtable	1.8-4
XVector	0.46.0
yaml	2.3.10
yulab.utils	0.2.1
zip	2.3.3
zlibbioc	1.52.0
zoo	1.8-14
