Protein.Group,Genes,protein_label,sample_label,PG.MaxLFQ,missing_status,n_missing,percent_missing
A6NGB9,WIPF3,WIPF3 | A6NGB9,GFP1,NA,Missing,5,83.33333333333333
O14717,TRDMT1,TRDMT1 | O14717,GFP3,3214.6142578125,Detected,3,50
O14717,TRDMT1,TRDMT1 | O14717,RDH1,7327.60791015625,Detected,3,50
O14717,TRDMT1,TRDMT1 | O14717,RDH2,NA,Missing,3,50
O14717,TRDMT1,TRDMT1 | O14717,RDH3,NA,Missing,3,50
O43374,RASA4,RASA4 | O43374,GFP1,12546.2080078125,Detected,3,50
O43374,RASA4,RASA4 | O43374,GFP2,NA,Missing,3,50
O43374,RASA4,RASA4 | O43374,GFP3,6140.3984375,Detected,3,50
O43374,RASA4,RASA4 | O43374,RDH1,NA,Missing,3,50
O43374,RASA4,RASA4 | O43374,RDH2,NA,Missing,3,50
O43374,RASA4,RASA4 | O43374,RDH3,5762.1904296875,Detected,3,50
O43529,CHST10,CHST10 | O43529,GFP1,4688.24365234375,Detected,2,33.333333333333336
O43529,CHST10,CHST10 | O43529,GFP2,2837.747802734375,Detected,2,33.333333333333336
O43529,CHST10,CHST10 | O43529,GFP3,NA,Missing,2,33.333333333333336
O43529,CHST10,CHST10 | O43529,RDH1,5020.7041015625,Detected,2,33.333333333333336
O43529,CHST10,CHST10 | O43529,RDH2,NA,Missing,2,33.333333333333336
O43529,CHST10,CHST10 | O43529,RDH3,2610.039794921875,Detected,2,33.333333333333336
O43543,XRCC2,XRCC2 | O43543,GFP1,0,Missing,4,66.66666666666667
O43543,XRCC2,XRCC2 | O43543,GFP2,14366.78515625,Detected,4,66.66666666666667
O43543,XRCC2,XRCC2 | O43543,GFP3,19262.68359375,Detected,4,66.66666666666667
O43543,XRCC2,XRCC2 | O43543,RDH1,NA,Missing,4,66.66666666666667
O43543,XRCC2,XRCC2 | O43543,RDH2,NA,Missing,4,66.66666666666667
O43543,XRCC2,XRCC2 | O43543,RDH3,0,Missing,4,66.66666666666667
O43739,CYTH3,CYTH3 | O43739,GFP1,0,Missing,4,66.66666666666667
O43739,CYTH3,CYTH3 | O43739,GFP2,16918.673828125,Detected,4,66.66666666666667
O43739,CYTH3,CYTH3 | O43739,GFP3,25690.830078125,Detected,4,66.66666666666667
O43739,CYTH3,CYTH3 | O43739,RDH1,0,Missing,4,66.66666666666667
O43739,CYTH3,CYTH3 | O43739,RDH2,0,Missing,4,66.66666666666667
O43739,CYTH3,CYTH3 | O43739,RDH3,0,Missing,4,66.66666666666667
O43805,SSNA1,SSNA1 | O43805,GFP1,NA,Missing,3,50
O43805,SSNA1,SSNA1 | O43805,GFP2,NA,Missing,3,50
O43805,SSNA1,SSNA1 | O43805,GFP3,15431.1396484375,Detected,3,50
O43805,SSNA1,SSNA1 | O43805,RDH1,NA,Missing,3,50
O43805,SSNA1,SSNA1 | O43805,RDH2,21100.6484375,Detected,3,50
O43805,SSNA1,SSNA1 | O43805,RDH3,36116.73828125,Detected,3,50
O43854,EDIL3,EDIL3 | O43854,GFP1,3567.749267578125,Detected,4,66.66666666666667
O43854,EDIL3,EDIL3 | O43854,GFP2,NA,Missing,4,66.66666666666667
O43854,EDIL3,EDIL3 | O43854,GFP3,NA,Missing,4,66.66666666666667
O43854,EDIL3,EDIL3 | O43854,RDH1,10000.7216796875,Detected,4,66.66666666666667
O43854,EDIL3,EDIL3 | O43854,RDH2,NA,Missing,4,66.66666666666667
O43854,EDIL3,EDIL3 | O43854,RDH3,NA,Missing,4,66.66666666666667
O60238,BNIP3L,BNIP3L | O60238,GFP1,56522.2734375,Detected,2,33.333333333333336
O60238,BNIP3L,BNIP3L | O60238,GFP2,17221.328125,Detected,2,33.333333333333336
O60238,BNIP3L,BNIP3L | O60238,GFP3,22264.236328125,Detected,2,33.333333333333336
O60238,BNIP3L,BNIP3L | O60238,RDH1,16523.390625,Detected,2,33.333333333333336
O60238,BNIP3L,BNIP3L | O60238,RDH2,NA,Missing,2,33.333333333333336
O60238,BNIP3L,BNIP3L | O60238,RDH3,NA,Missing,2,33.333333333333336
O60268,KIAA0513,KIAA0513 | O60268,GFP1,0,Missing,3,50
O60268,KIAA0513,KIAA0513 | O60268,GFP2,12314.44140625,Detected,3,50
O60268,KIAA0513,KIAA0513 | O60268,GFP3,10263.8994140625,Detected,3,50
O60268,KIAA0513,KIAA0513 | O60268,RDH1,NA,Missing,3,50
O60268,KIAA0513,KIAA0513 | O60268,RDH2,NA,Missing,3,50
O60268,KIAA0513,KIAA0513 | O60268,RDH3,9752.6748046875,Detected,3,50
O60462,NRP2,NRP2 | O60462,GFP1,8701.59765625,Detected,4,66.66666666666667
O60462,NRP2,NRP2 | O60462,GFP2,NA,Missing,4,66.66666666666667
O60462,NRP2,NRP2 | O60462,GFP3,NA,Missing,4,66.66666666666667
O60462,NRP2,NRP2 | O60462,RDH1,10032.7333984375,Detected,4,66.66666666666667
O60462,NRP2,NRP2 | O60462,RDH2,NA,Missing,4,66.66666666666667
O60462,NRP2,NRP2 | O60462,RDH3,NA,Missing,4,66.66666666666667
O75096,LRP4,LRP4 | O75096,GFP1,8307.9365234375,Detected,4,66.66666666666667
O75096,LRP4,LRP4 | O75096,GFP2,NA,Missing,4,66.66666666666667
O75096,LRP4,LRP4 | O75096,GFP3,NA,Missing,4,66.66666666666667
O75096,LRP4,LRP4 | O75096,RDH1,8067.349609375,Detected,4,66.66666666666667
O75096,LRP4,LRP4 | O75096,RDH2,NA,Missing,4,66.66666666666667
O75096,LRP4,LRP4 | O75096,RDH3,NA,Missing,4,66.66666666666667
O75144,ICOSLG,ICOSLG | O75144,GFP1,35413.6328125,Detected,3,50
O75144,ICOSLG,ICOSLG | O75144,GFP2,6347.15771484375,Detected,3,50
O75144,ICOSLG,ICOSLG | O75144,GFP3,NA,Missing,3,50
O75144,ICOSLG,ICOSLG | O75144,RDH1,21332.705078125,Detected,3,50
O75144,ICOSLG,ICOSLG | O75144,RDH2,NA,Missing,3,50
O75144,ICOSLG,ICOSLG | O75144,RDH3,NA,Missing,3,50
O75197,LRP5,LRP5 | O75197,GFP1,8359.4521484375,Detected,3,50
O75197,LRP5,LRP5 | O75197,GFP2,NA,Missing,3,50
O75197,LRP5,LRP5 | O75197,GFP3,NA,Missing,3,50
O75197,LRP5,LRP5 | O75197,RDH1,17753.275390625,Detected,3,50
O75197,LRP5,LRP5 | O75197,RDH2,NA,Missing,3,50
O75197,LRP5,LRP5 | O75197,RDH3,6684.56298828125,Detected,3,50
O75354,ENTPD6,ENTPD6 | O75354,GFP1,8104.9765625,Detected,3,50
O75354,ENTPD6,ENTPD6 | O75354,GFP2,NA,Missing,3,50
O75354,ENTPD6,ENTPD6 | O75354,GFP3,NA,Missing,3,50
O75354,ENTPD6,ENTPD6 | O75354,RDH1,11333.8935546875,Detected,3,50
O75354,ENTPD6,ENTPD6 | O75354,RDH2,4618.5341796875,Detected,3,50
O75354,ENTPD6,ENTPD6 | O75354,RDH3,NA,Missing,3,50
O94805,ACTL6B,ACTL6B | O94805,GFP1,31440.953125,Detected,4,66.66666666666667
O94805,ACTL6B,ACTL6B | O94805,GFP2,NA,Missing,4,66.66666666666667
O94805,ACTL6B,ACTL6B | O94805,GFP3,NA,Missing,4,66.66666666666667
O94805,ACTL6B,ACTL6B | O94805,RDH1,25398.26953125,Detected,4,66.66666666666667
O94805,ACTL6B,ACTL6B | O94805,RDH2,NA,Missing,4,66.66666666666667
O94805,ACTL6B,ACTL6B | O94805,RDH3,NA,Missing,4,66.66666666666667
O94876,TMCC1,TMCC1 | O94876,GFP1,19694.109375,Detected,4,66.66666666666667
O94876,TMCC1,TMCC1 | O94876,GFP2,0,Missing,4,66.66666666666667
O94876,TMCC1,TMCC1 | O94876,GFP3,0,Missing,4,66.66666666666667
O94876,TMCC1,TMCC1 | O94876,RDH1,15562.009765625,Detected,4,66.66666666666667
O94876,TMCC1,TMCC1 | O94876,RDH2,0,Missing,4,66.66666666666667
O94876,TMCC1,TMCC1 | O94876,RDH3,NA,Missing,4,66.66666666666667
O94986,CEP152,CEP152 | O94986,GFP1,7451.28173828125,Detected,3,50
O94986,CEP152,CEP152 | O94986,GFP2,NA,Missing,3,50
O94986,CEP152,CEP152 | O94986,GFP3,4429.93896484375,Detected,3,50
O94986,CEP152,CEP152 | O94986,RDH1,10193.849609375,Detected,3,50
O94986,CEP152,CEP152 | O94986,RDH2,NA,Missing,3,50
O94986,CEP152,CEP152 | O94986,RDH3,NA,Missing,3,50
O94988,FAM13A,FAM13A | O94988,GFP1,1382.767578125,Detected,2,33.333333333333336
O94988,FAM13A,FAM13A | O94988,GFP2,2022.3546142578125,Detected,2,33.333333333333336
O94988,FAM13A,FAM13A | O94988,GFP3,1793.77099609375,Detected,2,33.333333333333336
O94988,FAM13A,FAM13A | O94988,RDH1,NA,Missing,2,33.333333333333336
O94988,FAM13A,FAM13A | O94988,RDH2,NA,Missing,2,33.333333333333336
O94988,FAM13A,FAM13A | O94988,RDH3,1074.6529541015625,Detected,2,33.333333333333336
O95158,NXPH4,NXPH4 | O95158,GFP1,4303.2998046875,Detected,3,50
O95158,NXPH4,NXPH4 | O95158,GFP2,NA,Missing,3,50
O95158,NXPH4,NXPH4 | O95158,GFP3,4332.220703125,Detected,3,50
O95158,NXPH4,NXPH4 | O95158,RDH1,7051.6474609375,Detected,3,50
O95158,NXPH4,NXPH4 | O95158,RDH2,NA,Missing,3,50
O95158,NXPH4,NXPH4 | O95158,RDH3,NA,Missing,3,50
O95718,ESRRB,ESRRB | O95718,GFP1,73968.9140625,Detected,3,50
O95718,ESRRB,ESRRB | O95718,GFP2,NA,Missing,3,50
O95718,ESRRB,ESRRB | O95718,GFP3,NA,Missing,3,50
O95718,ESRRB,ESRRB | O95718,RDH1,84555.46875,Detected,3,50
O95718,ESRRB,ESRRB | O95718,RDH2,27893.55859375,Detected,3,50
O95718,ESRRB,ESRRB | O95718,RDH3,NA,Missing,3,50
O95832,CLDN1,CLDN1 | O95832,GFP1,12391.75,Detected,3,50
O95832,CLDN1,CLDN1 | O95832,GFP2,NA,Missing,3,50
O95832,CLDN1,CLDN1 | O95832,GFP3,3784.2431640625,Detected,3,50
O95832,CLDN1,CLDN1 | O95832,RDH1,3787.979248046875,Detected,3,50
O95832,CLDN1,CLDN1 | O95832,RDH2,NA,Missing,3,50
O95832,CLDN1,CLDN1 | O95832,RDH3,NA,Missing,3,50
O95997,PTTG1,PTTG1 | O95997,GFP1,NA,Missing,4,66.66666666666667
O95997,PTTG1,PTTG1 | O95997,GFP2,21529.6953125,Detected,4,66.66666666666667
O95997,PTTG1,PTTG1 | O95997,GFP3,23359.46484375,Detected,4,66.66666666666667
O95997,PTTG1,PTTG1 | O95997,RDH1,NA,Missing,4,66.66666666666667
O95997,PTTG1,PTTG1 | O95997,RDH2,NA,Missing,4,66.66666666666667
O95997,PTTG1,PTTG1 | O95997,RDH3,NA,Missing,4,66.66666666666667
P00450,CP,CP | P00450,GFP1,NA,Missing,3,50
P00450,CP,CP | P00450,GFP2,NA,Missing,3,50
P00450,CP,CP | P00450,GFP3,NA,Missing,3,50
P00450,CP,CP | P00450,RDH1,7340.88427734375,Detected,3,50
P00450,CP,CP | P00450,RDH2,3138.008056640625,Detected,3,50
P00450,CP,CP | P00450,RDH3,7206.42822265625,Detected,3,50
P01911,HLA-DRB1,HLA-DRB1 | P01911,GFP1,7007.37109375,Detected,4,66.66666666666667
P01911,HLA-DRB1,HLA-DRB1 | P01911,GFP2,NA,Missing,4,66.66666666666667
P01911,HLA-DRB1,HLA-DRB1 | P01911,GFP3,NA,Missing,4,66.66666666666667
P01911,HLA-DRB1,HLA-DRB1 | P01911,RDH1,12480.5087890625,Detected,4,66.66666666666667
P01911,HLA-DRB1,HLA-DRB1 | P01911,RDH2,NA,Missing,4,66.66666666666667
P01911,HLA-DRB1,HLA-DRB1 | P01911,RDH3,NA,Missing,4,66.66666666666667
P02452,COL1A1,COL1A1 | P02452,GFP1,19685.869140625,Detected,2,33.333333333333336
P02452,COL1A1,COL1A1 | P02452,GFP2,NA,Missing,2,33.333333333333336
P02452,COL1A1,COL1A1 | P02452,GFP3,NA,Missing,2,33.333333333333336
P02452,COL1A1,COL1A1 | P02452,RDH1,16884.3359375,Detected,2,33.333333333333336
P02452,COL1A1,COL1A1 | P02452,RDH2,20827.16796875,Detected,2,33.333333333333336
P02452,COL1A1,COL1A1 | P02452,RDH3,21488.3125,Detected,2,33.333333333333336
P04156,PRNP,PRNP | P04156,GFP1,23556.572265625,Detected,3,50
P04156,PRNP,PRNP | P04156,GFP2,NA,Missing,3,50
P04156,PRNP,PRNP | P04156,GFP3,6382.28271484375,Detected,3,50
P04156,PRNP,PRNP | P04156,RDH1,27148.755859375,Detected,3,50
P04156,PRNP,PRNP | P04156,RDH2,NA,Missing,3,50
P04156,PRNP,PRNP | P04156,RDH3,NA,Missing,3,50
P09958,FURIN,FURIN | P09958,GFP1,14068.38671875,Detected,3,50
P09958,FURIN,FURIN | P09958,GFP2,6886.13623046875,Detected,3,50
P09958,FURIN,FURIN | P09958,GFP3,NA,Missing,3,50
P09958,FURIN,FURIN | P09958,RDH1,NA,Missing,3,50
P09958,FURIN,FURIN | P09958,RDH2,7646.64794921875,Detected,3,50
P09958,FURIN,FURIN | P09958,RDH3,NA,Missing,3,50
P0C0L4,C4A,C4A | P0C0L4,GFP1,111844.5,Detected,2,33.333333333333336
P0C0L4,C4A,C4A | P0C0L4,GFP2,NA,Missing,2,33.333333333333336
P0C0L4,C4A,C4A | P0C0L4,GFP3,NA,Missing,2,33.333333333333336
P0C0L4,C4A,C4A | P0C0L4,RDH1,138240.625,Detected,2,33.333333333333336
P0C0L4,C4A,C4A | P0C0L4,RDH2,76946.109375,Detected,2,33.333333333333336
P0C0L4,C4A,C4A | P0C0L4,RDH3,156070.40625,Detected,2,33.333333333333336
P0C221,CCDC175,CCDC175 | P0C221,GFP1,NA,Missing,5,83.33333333333333
P0C221,CCDC175,CCDC175 | P0C221,GFP2,NA,Missing,5,83.33333333333333
P0C221,CCDC175,CCDC175 | P0C221,GFP3,NA,Missing,5,83.33333333333333
P0C221,CCDC175,CCDC175 | P0C221,RDH1,NA,Missing,5,83.33333333333333
P0C221,CCDC175,CCDC175 | P0C221,RDH2,NA,Missing,5,83.33333333333333
P0C221,CCDC175,CCDC175 | P0C221,RDH3,95939.609375,Detected,5,83.33333333333333
P0DTL5,TMEM276,TMEM276 | P0DTL5,GFP1,30169.8125,Detected,3,50
P0DTL5,TMEM276,TMEM276 | P0DTL5,GFP2,15840.7451171875,Detected,3,50
P0DTL5,TMEM276,TMEM276 | P0DTL5,GFP3,NA,Missing,3,50
P0DTL5,TMEM276,TMEM276 | P0DTL5,RDH1,106883.4453125,Detected,3,50
P0DTL5,TMEM276,TMEM276 | P0DTL5,RDH2,NA,Missing,3,50
P0DTL5,TMEM276,TMEM276 | P0DTL5,RDH3,NA,Missing,3,50
P10646,TFPI,TFPI | P10646,GFP1,9231.5400390625,Detected,3,50
P10646,TFPI,TFPI | P10646,GFP2,NA,Missing,3,50
P10646,TFPI,TFPI | P10646,GFP3,3094.664794921875,Detected,3,50
P10646,TFPI,TFPI | P10646,RDH1,7704.22119140625,Detected,3,50
P10646,TFPI,TFPI | P10646,RDH2,NA,Missing,3,50
P10646,TFPI,TFPI | P10646,RDH3,NA,Missing,3,50
P13637,ATP1A3,ATP1A3 | P13637,GFP1,32831.34765625,Detected,2,33.333333333333336
P13637,ATP1A3,ATP1A3 | P13637,GFP2,11891.3662109375,Detected,2,33.333333333333336
P13637,ATP1A3,ATP1A3 | P13637,GFP3,9320.4228515625,Detected,2,33.333333333333336
P13637,ATP1A3,ATP1A3 | P13637,RDH1,31155.595703125,Detected,2,33.333333333333336
P13637,ATP1A3,ATP1A3 | P13637,RDH2,NA,Missing,2,33.333333333333336
P13637,ATP1A3,ATP1A3 | P13637,RDH3,NA,Missing,2,33.333333333333336
P13929,ENO3,ENO3 | P13929,GFP1,68527.34375,Detected,3,50
P13929,ENO3,ENO3 | P13929,GFP2,37087.53125,Detected,3,50
P13929,ENO3,ENO3 | P13929,GFP3,NA,Missing,3,50
P13929,ENO3,ENO3 | P13929,RDH1,NA,Missing,3,50
P13929,ENO3,ENO3 | P13929,RDH2,76495.078125,Detected,3,50
P13929,ENO3,ENO3 | P13929,RDH3,NA,Missing,3,50
P14384,CPM,CPM | P14384,GFP1,3455.154052734375,Detected,4,66.66666666666667
P14384,CPM,CPM | P14384,GFP2,0,Missing,4,66.66666666666667
P14384,CPM,CPM | P14384,GFP3,2497.24169921875,Detected,4,66.66666666666667
P14384,CPM,CPM | P14384,RDH1,NA,Missing,4,66.66666666666667
P14384,CPM,CPM | P14384,RDH2,NA,Missing,4,66.66666666666667
P14384,CPM,CPM | P14384,RDH3,NA,Missing,4,66.66666666666667
P17010,ZFX,ZFX | P17010,GFP1,101870.421875,Detected,4,66.66666666666667
P17010,ZFX,ZFX | P17010,GFP2,NA,Missing,4,66.66666666666667
P17010,ZFX,ZFX | P17010,GFP3,NA,Missing,4,66.66666666666667
P17010,ZFX,ZFX | P17010,RDH1,91657.1328125,Detected,4,66.66666666666667
P17010,ZFX,ZFX | P17010,RDH2,NA,Missing,4,66.66666666666667
P17010,ZFX,ZFX | P17010,RDH3,NA,Missing,4,66.66666666666667
P17661,DES,DES | P17661,GFP1,NA,Missing,2,33.333333333333336
P17661,DES,DES | P17661,GFP2,59998.77734375,Detected,2,33.333333333333336
P17661,DES,DES | P17661,GFP3,87080.140625,Detected,2,33.333333333333336
P17661,DES,DES | P17661,RDH1,417399.5,Detected,2,33.333333333333336
P17661,DES,DES | P17661,RDH2,87709.2421875,Detected,2,33.333333333333336
P17661,DES,DES | P17661,RDH3,NA,Missing,2,33.333333333333336
P17693,HLA-G,HLA-G | P17693,GFP1,NA,Missing,5,83.33333333333333
P17693,HLA-G,HLA-G | P17693,GFP2,NA,Missing,5,83.33333333333333
P17693,HLA-G,HLA-G | P17693,GFP3,NA,Missing,5,83.33333333333333
P17693,HLA-G,HLA-G | P17693,RDH1,232486.3125,Detected,5,83.33333333333333
P17693,HLA-G,HLA-G | P17693,RDH2,NA,Missing,5,83.33333333333333
P17693,HLA-G,HLA-G | P17693,RDH3,NA,Missing,5,83.33333333333333
P18827,SDC1,SDC1 | P18827,GFP1,19460.88671875,Detected,3,50
P18827,SDC1,SDC1 | P18827,GFP2,1825.98681640625,Detected,3,50
P18827,SDC1,SDC1 | P18827,GFP3,NA,Missing,3,50
P18827,SDC1,SDC1 | P18827,RDH1,29195.025390625,Detected,3,50
P18827,SDC1,SDC1 | P18827,RDH2,NA,Missing,3,50
P18827,SDC1,SDC1 | P18827,RDH3,NA,Missing,3,50
P20908,COL5A1,COL5A1 | P20908,GFP1,14134.443359375,Detected,2,33.333333333333336
P20908,COL5A1,COL5A1 | P20908,GFP2,NA,Missing,2,33.333333333333336
P20908,COL5A1,COL5A1 | P20908,GFP3,NA,Missing,2,33.333333333333336
P20908,COL5A1,COL5A1 | P20908,RDH1,9555.345703125,Detected,2,33.333333333333336
P20908,COL5A1,COL5A1 | P20908,RDH2,4712.53955078125,Detected,2,33.333333333333336
P20908,COL5A1,COL5A1 | P20908,RDH3,10907.4111328125,Detected,2,33.333333333333336
P21802,FGFR2,FGFR2 | P21802,GFP1,26805.35546875,Detected,4,66.66666666666667
P21802,FGFR2,FGFR2 | P21802,GFP2,NA,Missing,4,66.66666666666667
P21802,FGFR2,FGFR2 | P21802,GFP3,NA,Missing,4,66.66666666666667
P21802,FGFR2,FGFR2 | P21802,RDH1,30044.86328125,Detected,4,66.66666666666667
P21802,FGFR2,FGFR2 | P21802,RDH2,NA,Missing,4,66.66666666666667
P21802,FGFR2,FGFR2 | P21802,RDH3,NA,Missing,4,66.66666666666667
P22303,ACHE,ACHE | P22303,GFP1,60328.79296875,Detected,3,50
P22303,ACHE,ACHE | P22303,GFP2,NA,Missing,3,50
P22303,ACHE,ACHE | P22303,GFP3,NA,Missing,3,50
P22303,ACHE,ACHE | P22303,RDH1,61251.359375,Detected,3,50
P22303,ACHE,ACHE | P22303,RDH2,107275.34375,Detected,3,50
P22303,ACHE,ACHE | P22303,RDH3,NA,Missing,3,50
P25101,EDNRA,EDNRA | P25101,GFP1,5484.68603515625,Detected,2,33.333333333333336
P25101,EDNRA,EDNRA | P25101,GFP2,2173.689453125,Detected,2,33.333333333333336
P25101,EDNRA,EDNRA | P25101,GFP3,NA,Missing,2,33.333333333333336
P25101,EDNRA,EDNRA | P25101,RDH1,3577.033935546875,Detected,2,33.333333333333336
P25101,EDNRA,EDNRA | P25101,RDH2,NA,Missing,2,33.333333333333336
P25101,EDNRA,EDNRA | P25101,RDH3,1607.6002197265625,Detected,2,33.333333333333336
P27701,CD82,CD82 | P27701,GFP1,84040.0625,Detected,2,33.333333333333336
P27701,CD82,CD82 | P27701,GFP2,NA,Missing,2,33.333333333333336
P27701,CD82,CD82 | P27701,GFP3,38561.875,Detected,2,33.333333333333336
P27701,CD82,CD82 | P27701,RDH1,69987.609375,Detected,2,33.333333333333336
P27701,CD82,CD82 | P27701,RDH2,33238.0078125,Detected,2,33.333333333333336
P27701,CD82,CD82 | P27701,RDH3,NA,Missing,2,33.333333333333336
P28328,PEX2,PEX2 | P28328,GFP1,NA,Missing,5,83.33333333333333
P28328,PEX2,PEX2 | P28328,GFP2,NA,Missing,5,83.33333333333333
P28328,PEX2,PEX2 | P28328,GFP3,NA,Missing,5,83.33333333333333
P28328,PEX2,PEX2 | P28328,RDH1,41128.1171875,Detected,5,83.33333333333333
P28328,PEX2,PEX2 | P28328,RDH2,NA,Missing,5,83.33333333333333
P28328,PEX2,PEX2 | P28328,RDH3,NA,Missing,5,83.33333333333333
P28827,PTPRM,PTPRM | P28827,GFP1,13679.9013671875,Detected,3,50
P28827,PTPRM,PTPRM | P28827,GFP2,NA,Missing,3,50
P28827,PTPRM,PTPRM | P28827,GFP3,NA,Missing,3,50
P28827,PTPRM,PTPRM | P28827,RDH1,7085.7021484375,Detected,3,50
P28827,PTPRM,PTPRM | P28827,RDH2,NA,Missing,3,50
P28827,PTPRM,PTPRM | P28827,RDH3,6227.5322265625,Detected,3,50
P29074,PTPN4,PTPN4 | P29074,GFP1,NA,Missing,4,66.66666666666667
P29074,PTPN4,PTPN4 | P29074,GFP2,22818.421875,Detected,4,66.66666666666667
P29074,PTPN4,PTPN4 | P29074,GFP3,NA,Missing,4,66.66666666666667
P29074,PTPN4,PTPN4 | P29074,RDH1,NA,Missing,4,66.66666666666667
P29074,PTPN4,PTPN4 | P29074,RDH2,NA,Missing,4,66.66666666666667
P29074,PTPN4,PTPN4 | P29074,RDH3,28393.33203125,Detected,4,66.66666666666667
P31431,SDC4,SDC4 | P31431,GFP1,13943.8251953125,Detected,4,66.66666666666667
P31431,SDC4,SDC4 | P31431,GFP2,NA,Missing,4,66.66666666666667
P31431,SDC4,SDC4 | P31431,GFP3,NA,Missing,4,66.66666666666667
P31431,SDC4,SDC4 | P31431,RDH1,14287.3154296875,Detected,4,66.66666666666667
P31431,SDC4,SDC4 | P31431,RDH2,NA,Missing,4,66.66666666666667
P31431,SDC4,SDC4 | P31431,RDH3,NA,Missing,4,66.66666666666667
P35548,MSX2,MSX2 | P35548,GFP1,17776.66015625,Detected,3,50
P35548,MSX2,MSX2 | P35548,GFP2,NA,Missing,3,50
P35548,MSX2,MSX2 | P35548,GFP3,NA,Missing,3,50
P35548,MSX2,MSX2 | P35548,RDH1,25589.724609375,Detected,3,50
P35548,MSX2,MSX2 | P35548,RDH2,NA,Missing,3,50
P35548,MSX2,MSX2 | P35548,RDH3,20696.521484375,Detected,3,50
P35609,ACTN2,ACTN2 | P35609,GFP1,99283.34375,Detected,3,50
P35609,ACTN2,ACTN2 | P35609,GFP2,53230.78125,Detected,3,50
P35609,ACTN2,ACTN2 | P35609,GFP3,NA,Missing,3,50
P35609,ACTN2,ACTN2 | P35609,RDH1,73720.3671875,Detected,3,50
P35609,ACTN2,ACTN2 | P35609,RDH2,NA,Missing,3,50
P35609,ACTN2,ACTN2 | P35609,RDH3,NA,Missing,3,50
P35711,SOX5,SOX5 | P35711,GFP1,49483.64453125,Detected,3,50
P35711,SOX5,SOX5 | P35711,GFP2,45245.24609375,Detected,3,50
P35711,SOX5,SOX5 | P35711,GFP3,47479.21875,Detected,3,50
P35711,SOX5,SOX5 | P35711,RDH1,NA,Missing,3,50
P35711,SOX5,SOX5 | P35711,RDH2,NA,Missing,3,50
P35711,SOX5,SOX5 | P35711,RDH3,NA,Missing,3,50
P36406,TRIM23,TRIM23 | P36406,GFP1,NA,Missing,4,66.66666666666667
P36406,TRIM23,TRIM23 | P36406,GFP2,NA,Missing,4,66.66666666666667
P36406,TRIM23,TRIM23 | P36406,GFP3,NA,Missing,4,66.66666666666667
P36406,TRIM23,TRIM23 | P36406,RDH1,NA,Missing,4,66.66666666666667
P36406,TRIM23,TRIM23 | P36406,RDH2,58152.76953125,Detected,4,66.66666666666667
P36406,TRIM23,TRIM23 | P36406,RDH3,74860.78125,Detected,4,66.66666666666667
P38936,CDKN1A,CDKN1A | P38936,GFP1,17412.70703125,Detected,2,33.333333333333336
P38936,CDKN1A,CDKN1A | P38936,GFP2,16702.568359375,Detected,2,33.333333333333336
